,count,is_written_in_last_month,is_written_in_last_week,max_created_utc,referral_utc,sub_comment_index,time_since_last_post
496735,1,False,False,1423959157,1464587460,2800,40628303
496737,919,True,True,1464919997,1464972944,2803,52947
497659,17,True,True,1462887256,1462911520,2808,24264
497679,471,True,True,1450380078,1450550103,2818,170025
498155,2,False,False,1474904954,1479703015,2825,4798061
498157,1,True,True,1455754891,1455756651,2826,1760
498159,54,True,True,1465200132,1465316735,2829,116603
498218,11,False,False,1460437818,1464115061,2836,3677243
498232,1,False,False,1422189299,1453360274,2840,31170975
498235,7,True,True,1454136963,1454193059,2843,56096
498249,12,False,False,1446906494,1467655837,2852,20749343
498261,1,True,True,1452147832,1452221866,2853,74034
498272,19,True,True,1468957847,1469207927,2864,250080
498292,4,True,False,1453225253,1455219395,2866,1994142
498303,1,False,False,1434929414,1451678306,2877,16748892
498304,166,True,True,1469380132,1469399659,2878,19527
498470,1,False,False,1472917599,1481251585,2880,8333986
498472,3,False,False,1434906465,1475767013,2882,40860548
498476,5,True,True,1455196133,1455196356,2884,223
498481,1,True,True,1454986637,1454987803,2885,1166
498483,2,True,True,1464275541,1464347974,2887,72433
498492,2,False,False,1456927960,1459946687,2897,3018727
498501,15,False,False,1455133691,1477627736,2906,22494045
498516,126,True,True,1464087805,1464154827,2907,67022
498646,1,True,False,1451271314,1452612678,2912,1341364
498647,12,False,False,1448318716,1452816816,2913,4498100
498659,21,True,True,1453141288,1453148246,2914,6958
498681,6,True,True,1451939939,1452523046,2917,583107
498687,7,True,True,1452479139,1452742911,2918,263772
498694,6,True,False,1451939939,1454302959,2920,2363020
498700,3,True,False,1455289585,1456326316,2921,1036731
498704,1,True,True,1452044489,1452353264,2923,308775
498705,2,True,False,1452061088,1452736164,2924,675076
498707,2,True,True,1452168880,1452281759,2925,112879
498709,5,False,False,1446684559,1454596828,2926,7912269
498714,7,False,False,1455635781,1461869197,2927,6233416
498721,12,False,False,1445198167,1456118860,2929,10920693
498733,32,True,False,1452008543,1452770440,2930,761897
498767,756,True,True,1464320878,1464345336,2935,24458
499526,1,True,True,1451965428,1452528191,2939,562763
499527,1,True,True,1476890428,1476991397,2940,100969
499529,1,False,False,1459998064,1472147214,2942,12149150
499531,396,True,True,1477082685,1477126287,2944,43602
499937,5,False,False,1470371569,1473646998,2955,3275429
499942,10,True,True,1467138704,1467138784,2956,80
499956,1,True,False,1471103037,1473571885,2962,2468848
499957,54,False,False,1474653191,1480893124,2963,6239933
500012,24,True,True,1480811387,1480820182,2965,8795
500036,13,True,True,1451981799,1451982334,2966,535
500052,81,True,True,1482240867,1482253766,2971,12899
500134,63,True,True,1456484613,1456703428,2973,218815
500202,1,False,False,1437775519,1466601606,2979,28826087
500207,4,False,False,1454724708,1457527743,2985,2803035
500214,62,True,True,1459961529,1459991747,2989,30218
500279,5,True,True,1450469614,1450680479,2993,210865
500290,3,True,True,1464552769,1464695938,3003,143169
500297,4,False,False,1459077005,1468679468,3010,9602463
500305,5,True,True,1472574234,1472574476,3018,242
500310,17,False,False,1455085491,1462200094,3019,7114603
500335,1,False,False,1451741711,1460514555,3030,8772844
500337,1743,True,True,1482256709,1482264284,3032,7575
502083,12,True,False,1477271542,1479319182,3039,2047640
502101,52,True,True,1463717865,1464205147,3046,487282
502155,90,True,True,1473676618,1473719563,3049,42945
502245,8,True,True,1460147656,1460407869,3050,260213
502261,203,True,True,1473401098,1473446875,3059,45777
502464,5,False,False,1423534172,1451147961,3060,27613789
502473,5,True,True,1476751879,1476907659,3065,155780
502481,2,False,False,1424190187,1472775074,3069,48584887
502491,15,False,False,1450143334,1454624597,3079,4481263
502506,3,True,True,1450854950,1450873836,3080,18886
502515,2,False,False,1446399885,1451326281,3088,4926396
502518,1,False,False,1454467471,1459618873,3090,5151402
502528,3,True,False,1474474681,1476755533,3101,2280852
502534,711,True,True,1451749594,1451955544,3107,205950
503249,2,False,False,1473014024,1481314797,3112,8300773
503253,103,True,True,1471991227,1472021415,3116,30188
503371,1,False,False,1429212191,1468819753,3133,39607562
503376,35,True,True,1467604995,1467833089,3140,228094
503418,4,True,True,1464287072,1464732091,3151,445019
503423,13897,True,True,1482346528,1482347205,3155,677
517321,230,True,True,1449934424,1450028162,3157,93738
517555,3,False,False,1458739981,1462460018,3163,3720037
517558,1377,True,True,1452356310,1452379517,3164,23207
518936,29,False,False,1442724866,1452008293,3166,9283427
518965,977,True,True,1482941442,1482941668,3167,226
519946,3,False,False,1440443480,1482621076,3174,42177596
519949,3,True,True,1473092263,1473111359,3176,19096
519953,56,True,True,1455620641,1455737125,3178,116484
